Date,Open,High,Low,Close,Volume
2020-01-02,72.40052032470703,72.46078378305016,71.15668166173941,71.40978524422886,135480400
2020-01-03,71.6966323852539,72.45595040957373,71.47245410922795,71.6291376132339,146322800
2020-01-06,72.2679214477539,72.306490935931,70.56849521434884,70.8191932093111,118387200
2020-01-07,71.92806243896484,72.53310260522755,71.70870255084994,72.27758611058375,108872000
2020-01-08,73.08509826660156,73.38641550034151,71.63154422529517,71.63154422529517,132079200
2020-01-09,74.63748168945312,74.83032176731344,73.81066900497032,74.06135963491325,170108400
2020-01-10,74.80623626708984,75.370308736383,74.30484750773756,74.87132551313572,140644800
2020-01-13,76.40440368652344,76.43092342751396,75.00388181987825,75.12200317385458,121532000
2020-01-14,75.3727035522461,76.55146021431688,75.24977111147209,76.34174457661803,161954400
2020-01-15,75.04969024658203,76.05247495120804,74.61820187883205,75.17263004032235,121923600
2020-01-16,75.98979949951172,76.10068954693726,75.23048148138665,75.5920621906251,108829200
2020-01-17,76.83108520507812,76.83349074089385,75.93195182564011,76.23808752279956,137816400
2020-01-21,76.31040954589844,76.90098699093934,76.1730071029982,76.45986173724447,110843200
2020-01-22,76.58279418945312,77.13480208755844,76.4887796776353,76.79491535128935,101832400
2020-01-23,76.95161437988281,77.03115890447519,76.08863757604202,76.63583446102108,104472000
2020-01-24,76.72985076904297,77.93993845348767,76.53941616685312,77.19749582877215,146537600
2020-01-27,74.47357940673828,75.15334557711078,73.49248860994267,74.74114561147599,161940000
2020-01-28,76.58039093017578,76.7515370876536,75.25459488094803,75.35342783283777,162234000
2020-01-29,78.18338012695312,79.02948122719883,77.46986301615,78.2098998673926,216229200
2020-01-30,78.07007598876953,78.12310810744944,76.83588197917527,77.26737024678101,126743200
2020-01-31,74.60856628417969,77.78324080814086,74.31448034488959,77.36139664518089,199588400
2020-02-03,74.40367889404297,75.56796570063159,72.85129158100523,73.35268032975995,173788400
2020-02-04,76.86000061035156,77.05043515977154,75.60169956180454,76.00666815397705,136616400
2020-02-05,77.48674011230469,78.28462753135985,76.88410566550306,77.98571584340952,118826800
2020-02-06,78.39311218261719,78.39552507490272,77.1999001655233,77.7567339114429,105425600
2020-02-07,77.32756042480469,78.1418387801139,76.83705999088563,77.89296432100895,117684000
2020-02-10,77.69482421875,77.69482421875,75.83430875751218,75.91404207954616,109348800
2020-02-11,77.22605895996094,78.26263625107545,77.0085971005104,78.19015142253798,94323200
2020-02-12,79.06000518798828,79.06483505188083,77.67548599053883,77.67548599053883,113730400
2020-02-13,78.49700927734375,78.82320573508036,78.12974054369347,78.3327054260137,94747600
2020-02-14,78.51636505126953,78.76523951540129,78.0089490191431,78.4656182863691,80113600
2020-02-18,77.07868194580078,77.25990141746018,76.01794043224491,76.19915990390432,152531200
2020-02-19,78.19498443603516,78.42453202537972,77.32029972520789,77.32029972520789,93984000
2020-02-20,77.39277648925781,78.44385067885128,76.88777921917897,77.95576899229526,100566000
2020-02-21,75.6409912109375,77.4290289157497,75.0248480652508,76.9868493533589,129554000
2020-02-24,72.04802703857422,73.49778279969091,69.88547911921196,71.8257352845529,222195200
2020-02-25,69.60759735107422,73.09909512359589,69.13643119372864,72.71732938397975,230673600
2020-02-26,70.71182250976562,71.97552869907848,69.22582460812832,69.23307309062069,198054800
2020-02-27,66.08951568603516,69.10500967174747,65.95420576749399,67.92104419759342,320605600
2020-02-28,66.05085754394531,67.27107285671417,61.94563554811998,62.1606861550344,426510000
2020-03-02,72.20022583007812,72.83570304979878,67.10433710214947,68.20615048257532,341397200
2020-03-03,69.90721130371094,73.45427795635602,69.05668336601278,73.37454464911569,319475600
2020-03-04,73.14981842041016,73.3092923901448,70.82779719372856,71.6275782870545,219178400
2020-03-05,70.77705383300781,72.37902717401828,70.41219640582361,71.40527520257908,187572800
2020-03-06,69.83714294433594,70.26965542799252,67.95246362121284,68.13851293457299,226176800
2020-03-09,64.31356048583984,67.19373670107173,63.54760324031838,63.72882264119381,286744800
2020-03-10,68.9455337524414,69.21132371848606,65.0867678159455,66.96420578722295,285290000
2020-03-11,66.55103302001953,67.95004932218703,65.68842661681832,67.02462518678024,255598800
2020-03-12,59.978790283203125,65.23898664623883,59.92321736395271,61.84172741301199,418474000
2020-03-13,67.16475677490234,67.6359302649127,61.119275269390535,64.00429300943405,370732000
2020-03-16,58.52421951293945,62.60044418179931,57.99022457275424,58.46139441002403,322423600
2020-03-17,61.09752655029297,62.24524591333619,57.60361433805932,59.804826482410455,324056000
2020-03-18,59.601863861083984,60.406478598445545,57.29433564123959,57.93464652653443,300233600
2020-03-19,59.14519500732422,61.09269941838276,58.62086718026377,59.77583883377371,271857200
2020-03-20,55.390316009521484,60.84864355194953,55.090698602114166,59.72508103936076,401693200
2020-03-23,54.213600158691406,55.21151627155354,51.372080998658355,55.11003383943649,336752800
2020-03-24,59.65260314941406,59.8483195377774,56.612948896316425,57.11069765855371,287531200
2020-03-25,59.32398986816406,62.39988643227555,59.02920598580545,60.587692247407915,303602000
2020-03-26,62.445804595947266,62.503792458271775,59.52696298189895,59.565624014727966,252087200
2020-03-27,59.86039733886719,61.82481325258339,59.69367489036661,61.0709416804956,204216800
2020-03-30,61.56870651245117,61.74026255580425,60.26150926393229,60.585290832590246,167976400
2020-03-31,61.443058013916016,63.42438996368667,60.88973623938196,61.75959108899796,197002000
2020-04-01,58.210105895996094,60.0972038911912,57.78001201918498,59.56079401122782,176218400
2020-04-02,59.18143844604492,59.234596446659125,57.241182484383906,58.072376290076036,165934000
2020-04-03,58.330909729003906,59.36748322353769,57.7413419398106,58.66676958439928,129880000
2020-04-06,63.4195556640625,63.574192418824516,60.25667324880632,60.62394199347429,201820400
2020-04-07,62.68500518798828,65.64975968703479,62.58110782117214,65.43229047893388,202887200
